theta_3,cost
2.000000000000000000e+05,6.317364864682317460e+01
2.157894736842105340e+05,6.307243682394366147e+01
2.315789473684210679e+05,6.316679052471368294e+01
2.473684210526315728e+05,6.325457451081111060e+01
2.631578947368421359e+05,6.333304551374565960e+01
2.789473684210526408e+05,6.341864108161269797e+01
2.947368421052631456e+05,6.350922279906421863e+01
3.105263157894737087e+05,6.360479066610023580e+01
3.263157894736842136e+05,6.370534468272073525e+01
3.421052631578947185e+05,6.381088484892571699e+01
3.578947368421052815e+05,6.392141116471519524e+01
3.736842105263157864e+05,6.403692363008914867e+01
3.894736842105262913e+05,6.415742224504759861e+01
4.052631578947368544e+05,6.428290700959053083e+01
4.210526315789473592e+05,6.441337792371795956e+01
4.368421052631578641e+05,6.454883498742987058e+01
4.526315789473684272e+05,6.468927820072627810e+01
4.684210526315789321e+05,6.483470756360715370e+01
4.842105263157894951e+05,6.498512307607254002e+01
5.000000000000000000e+05,6.514052473812239441e+01
