theta_2,cost,term_Tr,term_Ts,term_dTs,regularization
6.000000000000000000e+01,3.615469161432299643e+02,2.029527107390053118e+02,1.408460696990480017e+02,1.041124508017665384e+01,7.336890625000000554e+00
6.052631578947368496e+01,3.625060803657177644e+02,1.991405361576711073e+02,1.402514300927419129e+02,1.577088000000006041e+01,7.343234115304709597e+00
6.105263157894736992e+01,3.706019640533302208e+02,1.955415547460635821e+02,1.397209962999951927e+02,2.798977999999998900e+01,7.349633007271468621e+00
6.157894736842105488e+01,3.558433877715168592e+02,1.918767503954386200e+02,1.391447450741620457e+02,1.746580500101589806e+01,7.356087300900277626e+00
6.210526315789473983e+01,3.501135218082091569e+02,1.883791065727661191e+02,1.386009382392519740e+02,1.577087999999993428e+01,7.362596996191135723e+00
6.263157894736841769e+01,3.628991826470204387e+02,1.848603567568972039e+02,1.380295387969791534e+02,3.264012499999999051e+01,7.369162093144044690e+00
6.315789473684210265e+01,3.519987954959972853e+02,1.815499787914328351e+02,1.374898141128055045e+02,2.558322000000000784e+01,7.375782591759002749e+00
6.368421052631578760e+01,3.461801319002954642e+02,1.784544109626937427e+02,1.369936574455658729e+02,2.334960499999987604e+01,7.382458492036011677e+00
6.421052631578947967e+01,3.484901804310552507e+02,1.755714088698681792e+02,1.365372617672062177e+02,2.899232000000581166e+01,7.389189793975069698e+00
6.473684210526315042e+01,3.518738327359718596e+02,1.728916296572599549e+02,1.361282372897129562e+02,3.545798929142279121e+01,7.395976497576177700e+00
6.526315789473683537e+01,3.576144572632807126e+02,1.704086380994144463e+02,1.357578067476436559e+02,4.404519381338332806e+01,7.402818602839335682e+00
6.578947368421052033e+01,3.645971942719369849e+02,1.681239510223962554e+02,1.354353919480484763e+02,5.362813519172771493e+01,7.409716109764543646e+00
6.631578947368420529e+01,3.727610391785979687e+02,1.659785564135814013e+02,1.351405315118552721e+02,6.422528223480949805e+01,7.416669018351800702e+00
6.684210526315789025e+01,3.820702773357741080e+02,1.639868071916945951e+02,1.348825468746847207e+02,7.577724594079370490e+01,7.423677328601108627e+00
6.736842105263157521e+01,3.925330633289715365e+02,1.621217504094098558e+02,1.346545259661510840e+02,8.832604591289808127e+01,7.430741040512465645e+00
6.789473684210526017e+01,4.042065660660342132e+02,1.603527434935191991e+02,1.344446823912638536e+02,1.019712800271653634e+02,7.437860154085872644e+00
6.842105263157894512e+01,4.170284119738824984e+02,1.587189577987294058e+02,1.342682144958545507e+02,1.165962050099771972e+02,7.445034669321330512e+00
6.894736842105263008e+01,4.310136557179687884e+02,1.571525396914343560e+02,1.341051714366744250e+02,1.323036800036411762e+02,7.452264586218836584e+00
6.947368421052631504e+01,4.462230405948632210e+02,1.557243424179808358e+02,1.339811482716580144e+02,1.490580000004459862e+02,7.459549904778393525e+00
7.000000000000000000e+01,4.626016880061205256e+02,1.543434753567445341e+02,1.338649020243609300e+02,1.669264200000150140e+02,7.466890625000000448e+00
