time,T_in,v_flow,T_Node 1,T_Node 2,T Pipe 1,m_flow Pipe 1,dT 1_2,T_ambient
0,31.2,0.581,31.2,27.7,27.7,1.257,3.5,18
1,32.7,0.581,32.7,27.672707136779344,27.672707136779344,1.257,5.027292863220659,18
2,34.2,0.581,34.2,27.67270713677935,27.67270713677935,1.257,6.5272928632206515,18
3,35.6,0.581,35.6,27.672707136779362,27.67270713677936,1.257,7.927292863220639,18
4,37.1,0.581,37.1,27.672707136779366,27.672707136779366,1.257,9.427292863220636,18
5,38.6,0.581,38.6,27.672707136779366,27.67270713677937,1.257,10.927292863220636,18
6,40.1,0.581,40.1,27.672707136779373,27.672707136779373,1.257,12.427292863220629,18
7,41.5,0.581,41.5,27.672707136779376,27.672707136779376,1.257,13.827292863220624,18
8,43.0,0.581,43.0,27.672707136779376,27.67270713677938,1.257,15.327292863220624,18
9,44.5,0.581,44.5,27.672707136779383,27.672707136779383,1.257,16.827292863220617,18
10,46.0,0.581,46.0,27.67270713677939,27.672707136779387,1.257,18.32729286322061,18
11,47.5,0.581,47.5,27.67270713677939,27.67270713677939,1.257,19.82729286322061,18
12,49.0,0.581,49.0,27.672707136779394,27.672707136779394,1.257,21.327292863220606,18
13,50.1,0.581,50.1,27.672707136779394,27.672707136779398,1.257,22.427292863220607,18
14,50.8,0.581,50.8,27.6727071367794,27.6727071367794,1.257,23.127292863220596,18
15,51.6,0.581,51.6,27.672707136779405,27.672707136779405,1.257,23.927292863220597,18
16,52.3,0.581,52.3,27.672707136779405,27.672707136779408,1.257,24.627292863220593,18
17,53.1,0.581,53.1,27.67270713677941,27.67270713677941,1.257,25.42729286322059,18
18,53.8,0.581,53.8,27.67270713677942,27.672707136779415,1.257,26.12729286322058,18
19,54.4,0.581,54.4,27.67270713677942,27.672707136779415,1.257,26.72729286322058,18
20,54.8,0.581,54.8,27.67270713677942,27.672707136779415,1.257,27.12729286322058,18
21,55.2,0.581,55.2,27.67270713677942,27.672707136779415,1.257,27.527292863220584,18
22,55.6,0.581,55.6,27.67270713677942,27.672707136779415,1.257,27.927292863220583,18
23,56.1,0.581,56.1,27.67270713677942,27.672707136779415,1.257,28.427292863220583,18
24,56.5,0.581,56.5,27.67270713677942,27.672707136779415,1.257,28.82729286322058,18
25,56.8,0.581,56.8,27.67270713677942,27.672707136779415,1.257,29.12729286322058,18
26,57.1,0.581,57.1,27.67270713677942,27.672707136779415,1.257,29.427292863220583,18
27,57.3,0.581,57.3,27.67270713677942,27.672707136779415,1.257,29.62729286322058,18
28,57.5,0.581,57.5,27.67270713677942,27.672707136779415,1.257,29.82729286322058,18
29,57.7,0.581,57.7,27.67270713677942,27.672707136779415,1.257,30.027292863220584,18
30,57.9,0.581,57.9,27.67270713677942,27.672707136779415,1.257,30.22729286322058,18
