time,T_in,v_flow,T_Node 1,T_Node 2,T Pipe 1,m_flow Pipe 1,dT 1_2,T_ambient
0,65.0,1.0,65.0,20.0,20.0,2.163,45.0,20
1,65.10488688530991,1.0,65.10488688530991,20.0,20.0,2.163,45.10488688530991,20
2,65.2097276100306,1.0,65.2097276100306,20.0,20.0,2.163,45.2097276100306,20
3,65.31447603388806,1.0,65.31447603388806,20.0,20.0,2.163,45.314476033888056,20
4,65.41908605722975,1.0,65.41908605722975,20.0,20.0,2.163,45.41908605722975,20
5,65.52351164131308,1.0,65.52351164131308,20.0,20.0,2.163,45.52351164131308,20
6,65.62770682856693,1.0,65.62770682856693,20.0,20.0,2.163,45.62770682856693,20
7,65.73162576281752,1.0,65.73162576281752,20.0,20.0,2.163,45.731625762817515,20
8,65.83522270946969,1.0,65.83522270946969,20.0,20.0,2.163,45.83522270946969,20
9,65.93845207563463,1.0,65.93845207563463,20.0,20.0,2.163,45.93845207563463,20
10,66.04126843019526,1.0,66.04126843019526,20.0,20.0,2.163,46.04126843019526,20
11,66.14362652380039,1.0,66.14362652380039,20.0,20.0,2.163,46.14362652380039,20
12,66.2454813087789,1.0,66.2454813087789,20.0,20.0,2.163,46.245481308778906,20
13,66.3467879589652,1.0,66.3467879589652,20.0,20.0,2.163,46.346787958965194,20
14,66.44750188942712,1.0,66.44750188942712,20.0,20.0,2.163,46.447501889427116,20
15,66.54757877608775,1.0,66.54757877608775,20.0,20.0,2.163,46.54757877608775,20
16,66.64697457523232,1.0,66.64697457523232,20.0,20.0,2.163,46.64697457523232,20
17,66.7456455428919,1.0,66.7456455428919,20.0,20.0,2.163,46.74564554289191,20
18,66.84354825409498,1.0,66.84354825409498,20.0,20.0,2.163,46.84354825409498,20
19,66.94063962197875,1.0,66.94063962197875,20.0,20.0,2.163,46.94063962197875,20
20,67.0368769167516,1.0,67.0368769167516,20.0,20.0,2.163,47.036876916751595,20
21,67.1322177844985,1.0,67.1322177844985,20.0,20.0,2.163,47.13221778449849,20
22,67.22662026582076,1.0,67.22662026582076,20.0,20.0,2.163,47.226620265820756,20
23,67.3200428143025,1.0,67.3200428143025,20.0,20.0,2.163,47.3200428143025,20
24,67.412444314795,1.0,67.412444314795,20.0,20.0,2.163,47.412444314794996,20
25,67.50378410151156,1.0,67.50378410151156,20.0,20.0,2.163,47.503784101511556,20
26,67.59402197592435,1.0,67.59402197592435,20.0,20.0,2.163,47.59402197592435,20
27,67.68311822445584,1.0,67.68311822445584,20.0,20.0,2.163,47.68311822445584,20
28,67.77103363595664,1.0,67.77103363595664,20.0,20.0,2.163,47.77103363595664,20
29,67.85772951896226,1.0,67.85772951896226,20.0,20.0,2.163,47.85772951896226,20
30,67.9431677187212,1.0,67.9431677187212,20.0,20.0,2.163,47.9431677187212,20
31,68.02731063398684,1.0,68.02731063398684,20.0,20.0,2.163,48.02731063398684,20
32,68.11012123356566,1.0,68.11012123356566,20.0,20.0,2.163,48.110121233565664,20
33,68.19156307261463,1.0,68.19156307261463,20.0,20.0,2.163,48.19156307261463,20
34,68.27160030868053,1.0,68.27160030868053,20.0,20.0,2.163,48.27160030868053,20
35,68.35019771747422,1.0,68.35019771747422,20.0,20.0,2.163,48.35019771747422,20
36,68.42732070837275,1.0,68.42732070837275,20.0,20.0,2.163,48.42732070837275,20
37,68.50293533964268,1.0,68.50293533964268,20.0,20.0,2.163,48.502935339642676,20
38,68.57700833337776,1.0,68.57700833337776,20.0,20.0,2.163,48.57700833337776,20
39,68.64950709014458,1.0,68.64950709014458,20.0,20.0,2.163,48.64950709014458,20
40,68.72039970332945,1.0,68.72039970332945,20.0,20.0,2.163,48.72039970332945,20
41,68.78965497318046,1.0,68.78965497318046,20.0,20.0,2.163,48.78965497318046,20
42,68.85724242053857,1.0,68.85724242053857,20.0,20.0,2.163,48.85724242053857,20
43,68.92313230025128,1.0,68.92313230025128,20.0,20.0,2.163,48.92313230025128,20
44,68.98729561426359,1.0,68.98729561426359,20.0,20.0,2.163,48.98729561426359,20
45,69.0497041243799,1.0,69.0497041243799,20.0,20.0,2.163,49.0497041243799,20
46,69.11033036469168,1.0,69.11033036469168,20.0,20.0,2.163,49.11033036469168,20
47,69.16914765366512,1.0,69.16914765366512,20.0,20.0,2.163,49.16914765366512,20
48,69.22613010588368,1.0,69.22613010588368,20.0,20.0,2.163,49.22613010588368,20
49,69.28125264344021,1.0,69.28125264344021,20.0,20.0,2.163,49.28125264344021,20
50,69.33449100697375,1.0,69.33449100697375,24.652022052281506,24.652022052281506,2.163,44.68246895469224,20
51,69.38582176634597,1.0,69.38582176634597,28.843072347046732,28.843072347046732,2.163,40.54274941929924,20
52,69.4352223309528,1.0,69.4352223309528,32.60976015476453,32.60976015476453,2.163,36.82546217618827,20
53,69.4826709596665,1.0,69.4826709596665,35.99614459569363,35.99614459569363,2.163,33.48652636397288,20
54,69.52814677040396,1.0,69.52814677040396,39.04170461547881,39.04170461547881,2.163,30.486442154925157,20
55,69.57162974931678,1.0,69.57162974931678,41.781814627799136,41.781814627799136,2.163,27.78981512151765,20
56,69.61310075959942,1.0,69.61310075959942,44.248170765162996,44.248170765162996,2.163,25.364929994436423,20
57,69.65254154991126,1.0,69.65254154991126,46.469172867030764,46.469172867030764,2.163,23.1833686828805,20
58,69.68993476240901,1.0,69.68993476240901,48.470266801795916,48.470266801795916,2.163,21.219667960613094,20
59,69.72526394038582,1.0,69.72526394038582,50.2742512418199,50.2742512418199,2.163,19.45101269856592,20
60,69.7585135355139,1.0,69.7585135355139,51.90155258294972,51.90155258294972,2.163,17.85696095256418,20
61,69.78966891468734,1.0,69.78966891468734,53.37047131660355,53.37047131660355,2.163,16.41919759808379,20
62,69.8187163664621,1.0,69.8187163664621,54.697402818974645,54.697402818974645,2.163,15.121313547487453,20
63,69.84564310709035,1.0,69.84564310709035,55.89703521404398,55.89703521404398,2.163,13.948607893046372,20
64,69.87043728614668,1.0,69.87043728614668,56.982526691202516,56.982526691202516,2.163,12.887910594944167,20
65,69.89308799174336,1.0,69.89308799174336,57.96566441104445,57.96566441104445,2.163,11.927423580698907,20
66,69.91358525533273,1.0,69.91358525533273,58.85700691132859,58.85700691132859,2.163,11.056578344004144,20
67,69.93192005609428,1.0,69.93192005609428,59.666011726549236,59.666011726549236,2.163,10.265908329545049,20
68,69.94808432490476,1.0,69.94808432490476,60.40114975662197,60.40114975662196,2.163,9.546934568282786,20
69,69.96207094788933,1.0,69.96207094788933,61.07000776073112,61.07000776073112,2.163,8.892063187158207,20
70,69.97387376955243,1.0,69.97387376955243,61.67938020948753,61.67938020948753,2.163,8.294493560064893,20
71,69.98348759548675,1.0,69.98348759548675,62.23535160048506,62.23535160048506,2.163,7.7481359950016895,20
72,69.99090819465933,1.0,69.99090819465933,62.74337022758402,62.74337022758402,2.163,7.247537967075303,20
73,69.99613230127359,1.0,69.99613230127359,63.20831429140664,63.20831429140664,2.163,6.787818009866953,20
74,69.99915761620665,1.0,69.99915761620665,63.63455114636577,63.63455114636578,2.163,6.364606469840872,20
75,69.99998280802112,1.0,69.99998280802112,64.02599039695636,64.02599039695636,2.163,5.973992411064756,20
76,69.9986075135511,1.0,69.9986075135511,64.38613148202293,64.38613148202293,2.163,5.6124760315281605,20
77,69.99503233806197,1.0,69.99503233806197,64.71810631938847,64.71810631938847,2.163,5.276926018673507,20
78,69.9892588549841,1.0,69.9892588549841,65.02471752378696,65.02471752378696,2.163,4.96454133119714,20
79,69.98128960522027,1.0,69.98128960522027,65.30847265777602,65.30847265777602,2.163,4.672816947444247,20
80,69.97112809602753,1.0,69.97112809602753,65.57161492756705,65.57161492756705,2.163,4.399513168460473,20
81,69.95877879947354,1.0,69.95877879947354,65.81615069293304,65.81615069293304,2.163,4.142628106540499,20
82,69.94424715046854,1.0,69.94424715046854,66.04387412201618,66.04387412201618,2.163,3.900373028452364,20
83,69.9275395443734,1.0,69.9275395443734,66.25638928750216,66.25638928750216,2.163,3.6711502568712433,20
84,69.908663334185,1.0,69.908663334185,66.45512996984048,66.45512996984048,2.163,3.4535333643445085,20
85,69.88762682730022,1.0,69.88762682730022,66.6413774055989,66.6413774055989,2.163,3.2462494217013216,20
86,69.86443928185989,1.0,69.86443928185989,66.81627619431528,66.81627619431528,2.163,3.0481630875446086,20
87,69.83911090267422,1.0,69.83911090267422,66.9808485550517,66.9808485550517,2.163,2.858262347622528,20
88,69.81165283673175,1.0,69.81165283673175,67.13600710399966,67.13600710399966,2.163,2.675645732732093,20
89,69.78207716829354,1.0,69.78207716829354,67.28256630669006,67.28256630669006,2.163,2.4995108616034827,20
90,69.75039691357487,1.0,69.75039691357487,67.42125274241478,67.42125274241478,2.163,2.3291441711600953,20
91,69.71662601501691,1.0,69.71662601501691,67.55271430417679,67.55271430417679,2.163,2.163911710840125,20
92,69.68077933515056,1.0,69.68077933515056,67.67752844467786,67.67752844467786,2.163,2.0032508904726996,20
93,69.64287265005555,1.0,69.64287265005555,67.7962095673774,67.7962095673774,2.163,1.8466630826781483,20
94,69.60292264241737,1.0,69.60292264241737,67.9092156513703,67.9092156513703,2.163,1.6937069910470655,20
95,69.56094689418524,1.0,69.56094689418524,68.01695418961526,68.01695418961526,2.163,1.5439927045699733,20
96,69.51696387883435,1.0,69.51696387883435,68.11978751178518,68.11978751178518,2.163,1.3971763670491697,20
97,69.47099295323564,1.0,69.47099295323564,68.2180375556094,68.2180375556094,2.163,1.2529553976262378,20
98,69.42305434913695,1.0,69.42305434913695,68.3119901439446,68.3119901439446,2.163,1.1110642051923492,20
99,69.37316916425897,1.0,69.37316916425897,68.40189881886606,68.40189881886606,2.163,0.9712703453929095,20
100,69.32135935301022,1.0,69.32135935301022,68.48798827874509,68.48798827874509,2.163,0.8333710742651306,20
101,69.26764771682491,1.0,69.26764771682491,68.57045745950319,68.57045745950319,2.163,0.6971902573217221,20
102,69.21205789412807,1.0,69.21205789412807,68.64948229695688,68.64948229695688,2.163,0.5625755971711897,20
103,69.15461434993229,1.0,69.15461434993229,68.72521820333213,68.72521820333213,2.163,0.4293961466001548,20
104,69.09534236507074,1.0,69.09534236507074,68.79780228759253,68.79780228759253,2.163,0.2975400774782031,20
105,69.03426802507104,1.0,69.03426802507104,68.86735534614596,68.86735534614596,2.163,0.16691267892508677,20
106,68.97141820867513,1.0,68.97141820867513,68.93398364773563,68.93398364773563,2.163,0.03743456093950215,20
107,68.90682057600989,1.0,68.90682057600989,68.99778053384892,68.99778053384892,2.163,-0.09095995783903277,20
108,68.84050355641403,1.0,68.84050355641403,69.05882785376139,69.05882785376139,2.163,-0.21832429734735115,20
109,68.7724963359263,1.0,68.7724963359263,69.11719725134766,69.11719725134766,2.163,-0.34470091542135606,20
110,68.7028288444408,1.0,68.7028288444408,69.17295131901213,69.17295131901213,2.163,-0.47012247457132617,20
111,68.63153174253485,1.0,68.63153174253485,69.2261446324966,69.2261446324966,2.163,-0.594612889961752,20
112,68.55863640797531,1.0,68.55863640797531,69.27682467889406,69.27682467889406,2.163,-0.7181882709187448,20
113,68.48417492190927,1.0,68.48417492190927,69.32503268891682,69.32503268891682,2.163,-0.8408577670075488,20
114,68.40818005474517,1.0,68.40818005474517,69.37080438331913,69.37080438331913,2.163,-0.962624328573952,20
115,68.3306852517306,1.0,68.3306852517306,69.41417064234706,69.41417064234706,2.163,-1.0834853906164597,20
116,68.25172461823304,1.0,68.25172461823304,69.45515810616575,69.45515810616575,2.163,-1.2034334879327133,20
117,68.17133290473018,1.0,68.17133290473018,69.49378971338905,69.49378971338905,2.163,-1.3224568086588704,20
118,68.08954549151628,1.0,68.08954549151628,69.53008518409611,69.53008518409611,2.163,-1.4405396925798328,20
119,68.00639837313128,1.0,68.00639837313128,69.56406145305635,69.56406145305635,2.163,-1.557663079925078,20
120,67.92192814251975,1.0,67.92192814251975,69.59573305828997,69.59573305828997,2.163,-1.6738049157702193,20
121,67.83617197492627,1.0,67.83617197492627,69.62511248955855,69.62511248955855,2.163,-1.788940514632273,20
122,67.74916761153474,1.0,67.74916761153474,69.65221050090307,69.65221050090307,2.163,-1.9030428893683222,20
123,67.66095334285849,1.0,67.66095334285849,69.67703639091879,69.67703639091879,2.163,-2.0160830480602954,20
124,67.57156799188867,1.0,67.57156799188867,69.69959825407378,69.69959825407378,2.163,-2.1280302621851064,20
