theta_3,deltaQ_tot,Q_respond_max,Q_respond_min,Q_respond_mean,Q_respond_1min_max,Q_respond_1min_min,Q_respond_1min_mean,deltaQ_benchmark_tot,Q_respond_benchmark_max,constraint_deltaQ,constraint_Qrespond,feasible_deltaQ,feasible_Qrespond,smooth_max_Tr,constraint_Tr,feasible_Tr
40000.0,286387470473.18115,3810419.109160593,824142.6985006589,1541674.6660630528,2113497.697532461,795804.3857403977,1119868.716777516,224641076823.91196,3022179.5634525646,5586124443.291199,32694.654844886623,0.0,0.0,37.655173329931046,-5.344826670068954,1.0
56315.789473684206,292402887620.9051,3848701.443013217,826079.5110234995,1551563.8418974578,2132182.946837976,797708.9480351103,1124354.402651834,224641076823.91196,3022179.5634525646,11601541591.015137,70976.98869751068,0.0,0.0,37.69112052975709,-5.308879470242907,1.0
72631.57894736841,299104812596.1709,3892109.0239543538,828525.2757803885,1562617.4371520411,2153947.42267263,800125.3281148742,1129493.2225051755,224641076823.91196,3022179.5634525646,18303466566.280945,114384.56963864808,0.0,0.0,37.759168144700865,-5.240831855299135,1.0
88947.36842105263,303411362272.41296,3927182.5720402007,830731.4715261183,1570113.4003423532,2164461.7481053076,802396.4147311854,1131453.7199224487,224641076823.91196,3022179.5634525646,22610016242.523006,149458.11772449454,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
105263.15789473684,306295398591.44086,3957801.8776880223,831683.9884007836,1575958.8584003472,2174715.1225671396,803334.4979323104,1132860.4189656747,224641076823.91196,3022179.5634525646,25494052561.550903,180077.42337231617,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
121578.94736842104,308064570724.32263,3987664.968204773,830810.3620255154,1582011.8568772788,2190741.387210831,802310.7928348251,1134790.865914644,224641076823.91196,3022179.5634525646,27263224694.43268,209940.51388906687,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
137894.73684210525,311200222989.5835,4029173.4201708874,829749.9926371174,1592570.2094138255,2211555.3413407505,801068.7963785913,1138261.11313412,224641076823.91196,3022179.5634525646,30398876959.693542,251448.96585518075,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
154210.52631578947,318007886376.9663,4089955.3575175055,828605.116994299,1616346.769343085,2243121.8614129545,799790.4188900144,1146842.833906052,224641076823.91196,3022179.5634525646,37206540347.076355,312230.90320179984,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
170526.31578947368,325618468532.4227,4156038.9386675623,827352.5688735542,1642375.6199844435,2277918.9131773286,798342.3436919197,1156603.5983730387,224641076823.91196,3022179.5634525646,44817122502.532776,378314.48435185663,0.0,0.0,37.77204045846029,-5.227959541539711,1.0
186842.1052631579,333546411574.0544,4217880.967097039,826004.817501895,1669109.2639989778,2307663.081725534,796823.893069053,1165970.7853702835,224641076823.91196,3022179.5634525646,52745065544.16442,440156.5127813332,0.0,0.0,37.77204076551497,-5.227959234485027,1.0
203157.89473684208,342363909071.12646,4288155.562291365,824506.5006606202,1698072.0839939755,2345350.5035847556,795064.7275763105,1177139.7343229472,224641076823.91196,3022179.5634525646,61562563041.236565,510431.10797565896,0.0,0.0,37.858093362784764,-5.141906637215236,1.0
219473.68421052632,352258085359.0361,4364729.789495083,822811.2016546915,1729969.7785421526,2387497.6038336675,793126.773536414,1190178.4943812331,224641076823.91196,3022179.5634525646,71456739329.14612,587005.3351793764,0.0,0.0,38.043737749344594,-4.956262250655406,1.0
235789.47368421048,363143139603.66095,4444687.868713891,820651.3719107478,1765038.8550524209,2429096.761448685,790667.2305384189,1205226.3307728693,224641076823.91196,3022179.5634525646,82341793573.77106,666963.414398185,0.0,0.0,38.064882364488874,-4.935117635511126,1.0
252105.26315789472,374201434298.0776,4518919.049857757,817409.7183628238,1800740.79541838,2453810.923416898,787189.5994133013,1219116.5184855687,224641076823.91196,3022179.5634525646,93400088268.18762,741194.595542051,0.0,0.0,38.02080716109917,-4.979192838900829,1.0
268421.05263157893,384915900863.4404,4584307.894580882,813986.606413163,1834749.9705370683,2471342.8438665885,783485.5065167001,1231832.488360388,224641076823.91196,3022179.5634525646,104114554833.55048,806583.440265176,0.0,0.0,38.13151781177951,-4.86848218822049,1.0
284736.84210526315,395764752298.8198,4639911.430112529,811458.4327600376,1870003.564587277,2484999.9843147714,780717.0196024363,1246021.1925142214,224641076823.91196,3022179.5634525646,114963406268.92989,862186.9757968223,0.0,0.0,37.94444987634174,-5.055550123658257,1.0
301052.6315789473,404393595417.14856,4671626.300655702,808372.4802126917,1900516.517209938,2492010.788403011,777471.8158036466,1257535.4807724566,224641076823.91196,3022179.5634525646,123592249387.2586,893901.8463399959,0.0,0.0,38.15557982649279,-4.84442017350721,1.0
317368.4210526316,412452629789.4287,4693764.065148188,807026.0844115459,1928571.712015636,2495531.889809777,776224.1283190451,1269109.2157150663,224641076823.91196,3022179.5634525646,131651283759.53876,916039.6108324816,0.0,0.0,38.09594818708496,-4.904051812915043,1.0
333684.2105263158,419230247802.0317,4708136.179453358,805758.3388854958,1950755.1584506289,2496344.9530341914,775080.6121998819,1278301.0968313932,224641076823.91196,3022179.5634525646,138428901772.14172,930411.725137652,0.0,0.0,38.09358681320592,-4.906413186794083,1.0
350000.0,419692047445.8743,4708528.809635782,805566.8783815103,1952422.331817112,2496276.7276090644,774897.4537404729,1278991.1968610007,224641076823.91196,3022179.5634525646,138890701415.98438,930804.3553200755,0.0,0.0,38.05747819827794,-4.942521801722059,1.0
