theta_3,cost,term_Tr,term_Ts,term_dTs,regularization
4.000000000000000000e+04,3.434173475830851316e+02,1.561788316388976909e+02,1.332301253191873798e+02,4.681800000000006889e+01,7.190390625000000036e+00
5.631578947368421359e+04,3.540160032431827517e+02,1.585226764785319631e+02,1.336059764582105345e+02,5.468124499999984067e+01,7.206105306440443670e+00
7.263157894736842718e+04,3.563175263752523279e+02,1.611840366119789110e+02,1.340487256756696297e+02,5.385761999999988348e+01,7.227144087603878830e+00
8.894736842105262622e+04,3.515350176410596532e+02,1.633272798384184341e+02,1.344111643325499870e+02,4.654306650160095415e+01,7.253506968490304629e+00
1.052631578947368398e+05,3.537006084080423989e+02,1.651613617644371175e+02,1.347109861929046133e+02,4.654306650160095415e+01,7.285193949099722843e+00
1.215789473684210534e+05,3.560962822288550456e+02,1.671192884691473068e+02,1.351117222286746653e+02,4.654306650160095415e+01,7.322205029432133472e+00
1.378947368421052524e+05,3.576583524542598980e+02,1.695272012131743509e+02,1.355863937162356478e+02,4.518021731536238406e+01,7.364540209487534739e+00
1.542105263157894660e+05,3.536912318372906725e+02,1.723962027427691339e+02,1.360702606478757559e+02,3.781256895737990931e+01,7.412199489265928420e+00
1.705263157894736796e+05,3.507368118128281935e+02,1.755312682191581928e+02,1.366148931977074028e+02,3.112546752719529053e+01,7.465182868767312740e+00
1.868421052631578932e+05,3.552989680890238446e+02,1.789293119201367972e+02,1.372200408208953490e+02,3.162612500000001603e+01,7.523490347991689475e+00
2.031578947368421068e+05,3.489091932671389600e+02,1.826225981239811063e+02,1.378914732161908034e+02,2.080800000002802363e+01,7.587121926939058625e+00
2.194736842105263204e+05,3.543802600468061428e+02,1.863998448303054545e+02,1.385673576108912926e+02,2.175697999999997023e+01,7.656077605609418413e+00
2.357894736842105049e+05,3.588094570366391736e+02,1.900361166283828709e+02,1.391815780242534686e+02,2.186140500000002262e+01,7.730357384002770615e+00
2.521052631578947185e+05,3.613555671294212743e+02,1.931064478958465713e+02,1.396515529714556010e+02,2.078760500000003120e+01,7.809961262119113456e+00
2.684210526315789321e+05,3.637680896785815889e+02,1.958471531313930143e+02,1.400460423070965419e+02,1.998000500013356273e+01,7.894889239958448712e+00
2.847368421052631456e+05,3.748854963203887110e+02,1.986189789443031657e+02,1.404333760585647326e+02,2.784799999999998832e+01,7.985141317520776383e+00
3.010526315789473592e+05,3.693418213331142397e+02,2.010693426034833919e+02,1.407675562348248377e+02,1.942420499999993311e+01,8.080717494806094692e+00
3.173684210526315728e+05,3.752321987453810266e+02,2.022859706402496442e+02,1.408497653333168955e+02,2.391484500000010627e+01,8.181617771814403639e+00
3.336842105263157864e+05,3.814132761958935589e+02,2.029009160107324305e+02,1.408456380366154974e+02,2.937887999999998812e+01,8.287842148545706777e+00
3.500000000000000000e+05,3.626094161432299643e+02,2.029527107390053118e+02,1.408460696990480017e+02,1.041124508017665384e+01,8.399390625000000554e+00
