time,T_in,v_flow,T_Node 1,T_Node 2,T_HEX 1,T pipe in HEX 1,m_flow pipe in HEX 1,T pipe out HEX 1,m_flow pipe out HEX 1,dT 1_1,dT 1_2,T_ambient
0,65.0,2.0,65.0,20.0,20.0,20.0,4.326,20.0,4.326,45.0,0.0,20
10,65.0,2.0,65.0,61.79277580988188,63.134131279494724,63.134131279494724,4.326,61.79277580988189,4.326,1.8658687205052757,1.341355469612843,20
20,65.0,2.0,65.0,64.35692637297666,64.91829402820541,64.91829402820541,4.326,64.35692637297666,4.326,0.08170597179459094,0.5613676552287501,20
30,65.0,2.0,65.0,64.94360761620608,64.99209258678218,64.99209258678218,4.326,64.94360761620608,4.326,0.007907413217822068,0.04848497057609791,20
40,65.0,2.0,65.0,64.98775453575814,64.99514512627272,64.99514512627272,4.326,64.98775453575814,4.326,0.004854873727282438,0.007390590514575024,20
50,65.0,2.0,65.0,64.99040288742738,64.99527138886539,64.99527138886539,4.326,64.99040288742738,4.326,0.0047286111346096504,0.004868501438011208,20
60,65.0,2.0,65.0,64.99054644431784,64.99527661148161,64.99527661148161,4.326,64.99054644431784,4.326,0.004723388518385718,0.004730167163771171,20
70,65.0,2.0,65.0,64.99055378915517,64.99527682750539,64.99527682750539,4.326,64.99055378915517,4.326,0.004723172494607297,0.004723038350221032,20
80,65.0,2.0,65.0,64.99055415115339,64.99527683644081,64.99527683644081,4.326,64.99055415115339,4.326,0.004723163559191335,0.004722685287418926,20
90,65.0,2.0,65.0,64.99055416853379,64.9952768368104,64.9952768368104,4.326,64.99055416853379,4.326,0.004723163189595425,0.004722668276613717,20
100,65.0,2.0,65.0,64.99055416935225,64.9952768368257,64.9952768368257,4.326,64.99055416935225,4.326,0.0047231631743045455,0.0047226674734446306,20
110,65.0,2.0,65.0,64.99055416939024,64.99527683682632,64.99527683682632,4.326,64.99055416939024,4.326,0.004723163173679268,0.0047226674360842935,20
120,65.0,2.0,65.0,64.99055416939197,64.99527683682635,64.99527683682635,4.326,64.99055416939197,4.326,0.004723163173650846,0.004722667434378991,20
130,65.0,2.0,65.0,64.99055416939203,64.99527683682635,64.99527683682635,4.326,64.99055416939203,4.326,0.004723163173650846,0.0047226674343221475,20
140,65.0,2.0,65.0,64.99055416939206,64.99527683682635,64.99527683682635,4.326,64.99055416939206,4.326,0.004723163173650846,0.004722667434293726,20
150,65.0,2.0,65.0,64.99055416939206,64.99527683682635,64.99527683682635,4.326,64.99055416939206,4.326,0.004723163173650846,0.004722667434293726,20
160,65.0,2.0,65.0,64.99055416939206,64.99527683682635,64.99527683682635,4.326,64.99055416939206,4.326,0.004723163173650846,0.004722667434293726,20
170,65.0,2.0,65.0,64.99055416939206,64.99527683682635,64.99527683682635,4.326,64.99055416939206,4.326,0.004723163173650846,0.004722667434293726,20
180,65.0,2.0,65.0,64.99055416939206,64.99527683682635,64.99527683682635,4.326,64.99055416939206,4.326,0.004723163173650846,0.004722667434293726,20
190,65.0,2.0,65.0,64.99055416939206,64.99527683682635,64.99527683682635,4.326,64.99055416939206,4.326,0.004723163173650846,0.004722667434293726,20
