time,T_in,v_flow,T_Node 1,T_Node 2,T_HEX 1,T pipe in HEX 1,m_flow pipe in HEX 1,T pipe out HEX 1,m_flow pipe out HEX 1,dT 1_1,dT 1_2,T_ambient
1680,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1740,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1800,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1860,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1920,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1980,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2040,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2100,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2160,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2220,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2280,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2340,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2400,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2460,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2520,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2580,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2640,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2700,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2760,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2820,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2880,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
2940,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3000,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3060,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3120,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3180,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3240,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3300,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3360,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3420,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3480,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3540,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3600,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3660,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3720,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3780,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3840,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3900,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
3960,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4020,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4080,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4140,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4200,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4260,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4320,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4380,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4440,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4500,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4560,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4620,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4680,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4740,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4800,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4860,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4920,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
4980,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
5040,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
