Tc_in,Tc_out,mflow_consumer,Th_in,Th_out,mflow_hex,Q_d
40.0,40.0,0.0,20.0,20.0,4.326,0.4775936958484982
40.0,40.0,0.0,64.67401214931348,64.67401214931348,4.326,0.4764604016009455
40.0,40.0,0.0,64.99298301830363,64.99298301830363,4.326,0.4753421613087685
40.0,40.0,0.0,64.99526045904311,64.99526045904311,4.326,0.474239046033556
40.0,40.0,0.0,64.99527671988955,64.99527671988955,4.326,0.4731511258640489
40.0,40.0,0.0,64.9952768359914,64.9952768359914,4.326,0.4720784699110785
40.0,40.0,0.0,64.99527683682038,64.99527683682038,4.326,0.4710211463025753
40.0,40.0,0.0,64.99527683682629,64.99527683682629,4.326,0.46997922217864985
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4689527636867445
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4679418359768581
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4669465031968426
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4659668284877729
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4650028739793894
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.46405470078561484
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.46312236900014403
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4622059376921088
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4613054649018169
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.46042100763656546
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4595526218665306
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.458700362520732
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4578642834830725
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4570444375884556
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4562408766189774
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.45545365130019666
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4546828112974812
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4539284052124315
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4531904805793818
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4524690838619797
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4517642604498425
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4510760546552931
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.45040450971017343
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4497496677627375
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4491115698746228
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4484902560179015
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.44788576507221034
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.44729813482196124
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4467274019536309
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4461736020531311
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.44563676960325865
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.44511693798122676
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4446141394562761
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4441284051873675
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4436597652209553
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.44320824848884177
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4427738828061133
40.0,40.0,0.0,64.99527683682633,64.99527683682633,4.326,0.4423566948691577
