theta_2,cost
6.300000000000000000e+01,5.067492701008557532e+01
6.322222222222222143e+01,5.041049770852718837e+01
6.344444444444444287e+01,5.061863832855529211e+01
6.366666666666666430e+01,5.160889089846915567e+01
6.388888888888888573e+01,5.310481341271379563e+01
6.411111111111111427e+01,5.510113124234818116e+01
6.433333333333332860e+01,5.759892987917570650e+01
6.455555555555555713e+01,6.059749687327277456e+01
6.477777777777777146e+01,6.409677437214868689e+01
6.500000000000000000e+01,6.809561373787688865e+01
