theta_5,cost,term_Tr,term_Ts,term_dTs,regularization,termTr_COP,termTs_COP
3.000000000000000000e+01,4.048970173062940603e+02,1.606737955586556836e+02,1.304279393886103549e+02,1.069877823590280030e+02,6.807500000000000995e+00,4.590829295427279472e+08,4.235215912310617566e+08
3.131578947368421240e+01,4.061195580050748504e+02,1.613473214981711692e+02,1.308962754775155304e+02,1.069877823590280030e+02,6.888178670360111333e+00,4.606295607860947847e+08,4.250871806986462474e+08
3.263157894736842479e+01,4.069701983786066535e+02,1.617353983092927194e+02,1.312746977656876197e+02,1.069877823590280030e+02,6.972319944598338815e+00,4.605720999561270475e+08,4.263736433911302686e+08
3.394736842105263008e+01,4.068124396920844106e+02,1.614434803086543582e+02,1.313212532016873695e+02,1.069877823590280030e+02,7.059923822714681663e+00,4.569638061880768538e+08,4.272291257800397277e+08
3.526315789473684248e+01,4.059219729327350592e+02,1.601678253601178881e+02,1.316153749088800282e+02,1.069877823590280030e+02,7.150990304709141654e+00,4.438750272508668900e+08,4.281770844518442750e+08
3.657894736842105488e+01,4.123639022792467586e+02,1.646019079411911150e+02,1.335286925884459492e+02,1.069877823590280030e+02,7.245519390581717900e+00,4.605672461573989391e+08,4.342668369471442103e+08
3.789473684210526017e+01,4.193303915227091352e+02,1.696439971924129395e+02,1.353551008909357734e+02,1.069877823590280030e+02,7.343511080332410401e+00,4.833425632251545787e+08,4.404705710676757693e+08
3.921052631578947256e+01,4.238883172515508022e+02,1.728833907745930389e+02,1.365721787439685215e+02,1.069877823590280030e+02,7.444965373961219157e+00,4.978720724947358966e+08,4.447956058795539141e+08
4.052631578947368496e+01,4.265217556915446835e+02,1.747168649135957708e+02,1.372672261474527602e+02,1.069877823590280030e+02,7.549882271468145056e+00,5.048246915438373089e+08,4.482021052013247609e+08
4.184210526315789735e+01,4.298295685601727314e+02,1.776463384264576177e+02,1.375371860018339021e+02,1.069877823590280030e+02,7.658261772853186322e+00,5.207532499161146283e+08,4.533457249632114768e+08
4.315789473684210975e+01,4.349133450763473547e+02,1.817476283868872144e+02,1.384078304523158067e+02,1.069877823590280030e+02,7.770103878116344731e+00,5.434355903045692444e+08,4.596241490421798825e+08
4.447368421052631504e+01,4.423601862608832676e+02,1.871423347844003615e+02,1.403446605301972738e+02,1.069877823590280030e+02,7.885408587257618507e+00,5.719608750026628971e+08,4.670988369884065986e+08
4.578947368421052744e+01,4.548526126293590437e+02,1.962630383232895213e+02,1.435976160467645286e+02,1.069877823590280030e+02,8.004175900277008537e+00,6.200729179761486053e+08,4.780618386047745347e+08
4.710526315789473983e+01,4.702111569086932263e+02,2.071848098817821153e+02,1.479121588507085505e+02,1.069877823590280030e+02,8.126405817174516599e+00,6.784744015199186802e+08,4.925390313416957855e+08
4.842105263157894512e+01,4.878093325886593448e+02,2.200386332734248356e+02,1.525308186182563759e+02,1.069877823590280030e+02,8.252098337950139140e+00,7.560569673579835892e+08,5.088907147442144752e+08
4.973684210526315752e+01,5.050250978768866617e+02,2.333320694698344653e+02,1.563239925854203420e+02,1.069877823590280030e+02,8.381253462603877935e+00,8.601591226321170330e+08,5.260686297111213803e+08
5.105263157894736992e+01,5.287562602444936601e+02,2.516660988079863728e+02,1.615885078863435353e+02,1.069877823590280030e+02,8.513871191135734762e+00,1.000237400874765396e+09,5.470070199477732182e+08
5.236842105263158231e+01,5.634505611150934783e+02,2.784518061941175233e+02,1.693610210384022992e+02,1.069877823590280030e+02,8.649951523545707843e+00,1.204343812720816851e+09,5.756344905245839357e+08
5.368421052631579471e+01,6.120847949556668937e+02,3.161728421130738980e+02,1.801346760237311742e+02,1.069877823590280030e+02,8.789494459833797180e+00,1.516335359830887794e+09,6.177297930008395910e+08
5.500000000000000000e+01,6.782055934512563908e+02,3.678291198791716852e+02,1.944561912130567123e+02,1.069877823590280030e+02,8.932500000000000995e+00,1.960459282318503380e+09,6.725533752601566315e+08
