theta_4,deltaQ_tot,Q_respond_max,Q_respond_min,Q_respond_mean,Q_respond_1min_max,Q_respond_1min_min,Q_respond_1min_mean,deltaQ_benchmark_tot,Q_respond_benchmark_max,constraint_deltaQ,constraint_Qrespond,feasible_deltaQ,feasible_Qrespond,smooth_max_Tr,constraint_Tr,feasible_Tr
0.0,305247044967.5353,3941724.9407257633,826583.2888693818,1572215.5926804808,2164224.984497044,798117.7201168318,1132035.91204331,224641076823.91196,3022179.5634525646,24445698937.645325,164000.48641005717,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
10526.315789473683,305247044967.5353,3941724.9407257633,826583.2888693818,1572215.5926804808,2164224.984497044,798117.7201168318,1132035.91204331,224641076823.91196,3022179.5634525646,24445698937.645325,164000.48641005717,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
21052.631578947367,305247044967.5353,3941724.9407257633,826583.2888693818,1572215.5926804808,2164224.984497044,798117.7201168318,1132035.91204331,224641076823.91196,3022179.5634525646,24445698937.645325,164000.48641005717,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
31578.947368421053,305247044967.5353,3941724.9407257633,826583.2888693818,1572215.5926804808,2164224.984497044,798117.7201168318,1132035.91204331,224641076823.91196,3022179.5634525646,24445698937.645325,164000.48641005717,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
42105.26315789473,305247044967.5353,3941724.9407257633,826583.2888693818,1572215.5926804808,2164224.984497044,798117.7201168318,1132035.91204331,224641076823.91196,3022179.5634525646,24445698937.645325,164000.48641005717,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
52631.57894736843,305247044967.5353,3941724.9407257633,826583.2888693818,1572215.5926804808,2164224.984497044,798117.7201168318,1132035.91204331,224641076823.91196,3022179.5634525646,24445698937.645325,164000.48641005717,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
63157.89473684211,305099786921.59625,3938640.6600125097,826529.8133797708,1571561.564557036,2160446.2757972167,798061.5046392516,1131385.113336241,224641076823.91196,3022179.5634525646,24298440891.706295,160916.20569680352,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
73684.2105263158,305089647347.0582,3938615.229621663,826613.3541497056,1571513.4309117512,2160381.622993999,798148.4901857482,1131354.2213148752,224641076823.91196,3022179.5634525646,24288301317.168278,160890.77530595707,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
84210.52631578947,305160551172.3064,3939400.9080958096,826993.631906299,1571755.996240252,2161165.3221161906,798539.9923225619,1131369.0675295643,224641076823.91196,3022179.5634525646,24359205142.41644,161676.45378010347,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
94736.84210526317,305206133169.1653,3938950.1466302127,827775.8503734946,1571822.5455690117,2160588.2201950727,799333.3260035062,1131049.33714197,224641076823.91196,3022179.5634525646,24404787139.27533,161225.6923145065,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
105263.15789473684,305479186624.3552,3944343.033044083,829466.7639736328,1572820.2757026583,2164452.4995868327,801085.4686696148,1131413.5610457791,224641076823.91196,3022179.5634525646,24677840594.46527,166618.5787283769,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
115789.47368421052,306015279551.766,3952235.0966019006,830953.2787119373,1574745.4456067723,2171202.3461212516,802627.2804920335,1132548.0242071515,224641076823.91196,3022179.5634525646,25213933521.87604,174510.6422861945,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
126315.7894736842,306277469723.9167,3955234.261054578,832319.3240389337,1575739.4139408867,2173432.0043895906,804036.030110337,1133031.7752862447,224641076823.91196,3022179.5634525646,25476123694.026733,177509.8067388716,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
136842.1052631579,306371477861.79315,3957061.0244182767,833320.8083696174,1576060.9999579175,2174035.9740600446,805057.1274376758,1132980.1020704042,224641076823.91196,3022179.5634525646,25570131831.9032,179336.57010257055,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
147368.4210526316,306602755128.896,3958603.0624715034,834141.8859998108,1577143.0932411,2175996.321112484,805883.6715437527,1133653.8922777472,224641076823.91196,3022179.5634525646,25801409099.00604,180878.6081557968,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
157894.73684210528,306599553437.1,3961800.794943657,833301.0566203155,1577285.9357007989,2177152.200598214,804925.5034829641,1133236.954426228,224641076823.91196,3022179.5634525646,25798207407.21002,184076.3406279506,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
168421.05263157896,308006874288.1868,3986010.660421328,832063.4410234605,1581995.2604424397,2190111.304453104,803562.8447899283,1134760.903663269,224641076823.91196,3022179.5634525646,27205528258.296875,208286.206105622,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
178947.36842105264,309734523471.3768,4012531.218817044,830917.1555395604,1587667.572329227,2204140.1481047105,802298.9483328217,1136783.3264123977,224641076823.91196,3022179.5634525646,28933177441.486816,234806.7645013379,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
189473.68421052632,312381756068.62427,4043151.1998885446,829881.6407257997,1596779.7330644235,2220434.765615021,801166.4055653485,1140064.7800371656,224641076823.91196,3022179.5634525646,31580410038.734318,265426.74557283847,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
200000.0,316153322719.06006,4073467.988559473,828951.1101234835,1609944.4763001103,2234467.3821641286,800181.4779362708,1144577.781990911,224641076823.91196,3022179.5634525646,35351976689.170105,295743.5342437667,0.0,0.0,37.77204045845959,-5.227959541540407,1.0
