theta_4,cost,term_Tr,term_Ts,term_dTs,regularization,termTr_COP,termTs_COP
0.000000000000000000e+00,4.238216414056373083e+02,1.613503783735595789e+02,1.340025576890217565e+02,1.250693147180559919e+02,3.399390624999999666e+00,4.504097588222004771e+08,4.385956059815554619e+08
1.052631578947368507e+04,4.238327217380472689e+02,1.613503783735595789e+02,1.340025576890217565e+02,1.250693147180559919e+02,3.410470957409971859e+00,4.504097588222004771e+08,4.385956059815554619e+08
2.105263157894737014e+04,4.238659627352771508e+02,1.613503783735595789e+02,1.340025576890217565e+02,1.250693147180559919e+02,3.443711954639889328e+00,4.504097588222004771e+08,4.385956059815554619e+08
3.157894736842105340e+04,4.239213643973270109e+02,1.613503783735595789e+02,1.340025576890217565e+02,1.250693147180559919e+02,3.499113616689750295e+00,4.504097588222004771e+08,4.385956059815554619e+08
4.210526315789474029e+04,4.239989267241968491e+02,1.613503783735595789e+02,1.340025576890217565e+02,1.250693147180559919e+02,3.576675943559556536e+00,4.504097588222004771e+08,4.385956059815554619e+08
5.263157894736842718e+04,4.240986497158866086e+02,1.613503783735595789e+02,1.340025576890217565e+02,1.250693147180559919e+02,3.676398935249307165e+00,4.504097588222004771e+08,4.385956059815554619e+08
6.315789473684210679e+04,4.243955578997204725e+02,1.615179628106636187e+02,1.340446551382698317e+02,1.250346573590280030e+02,3.798282591759003068e+00,4.511316579560942650e+08,4.386966742392436266e+08
7.368421052631580096e+04,4.247643323432307625e+02,1.616988405983528025e+02,1.340885074727612789e+02,1.250346573590280030e+02,3.942326913088642470e+00,4.518978715511451364e+08,4.388037927122637033e+08
8.421052631578948058e+04,4.252756514421694192e+02,1.619804072371971984e+02,1.341520549467059880e+02,1.250346573590280030e+02,4.108531899238227147e+00,4.530458682372789383e+08,4.389526133172906637e+08
9.473684210526316019e+04,4.260310358059600162e+02,1.624377524899333025e+02,1.342617284067909509e+02,1.250346573590280030e+02,4.296897550207756211e+00,4.549038841120072603e+08,4.392205272709924579e+08
1.052631578947368544e+05,4.272813183619829829e+02,1.632817659280970588e+02,1.344574712088607100e+02,1.250346573590280030e+02,4.507423865997229662e+00,4.583227566663588285e+08,4.396811893754296899e+08
1.157894736842105340e+05,4.284136706120596614e+02,1.640177608767525612e+02,1.346211415296724283e+02,1.250346573590280030e+02,4.740110846606648387e+00,4.613251087658222318e+08,4.400662348096574545e+08
1.263157894736842136e+05,4.294521073062155097e+02,1.646548274464825568e+02,1.347676640086689304e+02,1.250346573590280030e+02,4.994958492036010611e+00,4.639353530162335634e+08,4.404189603404662609e+08
1.368421052631578932e+05,4.304136238993027632e+02,1.652084398611830522e+02,1.348985598768063596e+02,1.250346573590280030e+02,5.271966802285318998e+00,4.662454654227546453e+08,4.407391185194798112e+08
1.473684210526316019e+05,4.314387976191680423e+02,1.658027353151437353e+02,1.350302691676417055e+02,1.250346573590280030e+02,5.571135777354571772e+00,4.686513797992574573e+08,4.410443732399207950e+08
1.578947368421052815e+05,4.327606041802746972e+02,1.666264272680726606e+02,1.352070541359302069e+02,1.250346573590280030e+02,5.892465417243768044e+00,4.719312275383611321e+08,4.414080014643190503e+08
1.684210526315789612e+05,4.345867447922398128e+02,1.678637010844597057e+02,1.354524306267991847e+02,1.250346573590280030e+02,6.235955721952908704e+00,4.769733733159864545e+08,4.419007543590900302e+08
1.789473684210526408e+05,4.364360992579831873e+02,1.691059884961843522e+02,1.356938467112888134e+02,1.250346573590280030e+02,6.601606691481994638e+00,4.820560904593401551e+08,4.423851568226429224e+08
1.894736842105263204e+05,4.324463386863267260e+02,1.703457567249915598e+02,1.359095984832663078e+02,1.192015651522378050e+02,6.989418325831025847e+00,4.871838800583373308e+08,4.427701012444490194e+08
2.000000000000000000e+05,4.220999561319214877e+02,1.716157147018362821e+02,1.360970684460571363e+02,1.069877823590280030e+02,7.399390625000000554e+00,4.924389708397839665e+08,4.430345817076990008e+08
