time,T_in,v_flow,T_Node 1,T_Node 2,T Pipe 1,m_flow Pipe 1,dT 1_2,T_ambient
0,65.0,2.0,65.0,20.0,20.0,4.326,45.0,20
1,65.78705073899248,2.0,65.78705073899248,19.999999999999993,19.999999999999993,4.326,45.787050738992484,20
2,66.55447764841766,2.0,66.55447764841766,19.99999999999999,19.99999999999999,4.326,46.554477648417674,20
3,67.28314618696857,2.0,67.28314618696857,19.999999999999986,19.999999999999986,4.326,47.28314618696858,20
4,67.95488819025229,2.0,67.95488819025229,19.999999999999982,19.999999999999982,4.326,47.954888190252305,20
5,68.5529548644077,2.0,68.5529548644077,19.99999999999998,19.99999999999998,4.326,48.55295486440772,20
6,69.0624343900284,2.0,69.0624343900284,19.999999999999975,19.999999999999975,4.326,49.06243439002843,20
7,69.47062372411669,2.0,69.47062372411669,19.999999999999975,19.999999999999975,4.326,49.47062372411672,20
8,69.76734532979152,2.0,69.76734532979152,19.999999999999975,19.999999999999975,4.326,49.76734532979155,20
9,69.94520093661082,2.0,69.94520093661082,19.999999999999975,19.999999999999975,4.326,49.945200936610846,20
10,69.99975600440723,2.0,69.99975600440723,19.999999999999975,19.999999999999975,4.326,49.99975600440726,20
11,69.92965029133174,2.0,69.92965029133174,19.999999999999975,19.999999999999975,4.326,49.92965029133177,20
12,69.73663176927096,2.0,69.73663176927096,19.999999999999975,19.999999999999975,4.326,49.736631769270986,20
13,69.42551304101222,2.0,69.42551304101222,19.999999999999975,19.999999999999975,4.326,49.42551304101225,20
14,69.00405134582368,2.0,69.00405134582368,19.999999999999975,19.999999999999975,4.326,49.00405134582371,20
15,68.48275514531498,2.0,68.48275514531498,19.999999999999975,19.999999999999975,4.326,48.48275514531501,20
16,67.87462211204527,2.0,67.87462211204527,19.999999999999975,19.999999999999975,4.326,47.8746221120453,20
17,67.19481505370646,2.0,67.19481505370646,19.999999999999975,19.999999999999975,4.326,47.19481505370649,20
18,66.46028385318488,2.0,66.46028385318488,19.999999999999975,19.999999999999975,4.326,46.460283853184905,20
19,65.68934285081052,2.0,65.68934285081052,19.999999999999975,19.999999999999975,4.326,45.68934285081055,20
20,64.90121420608027,2.0,64.90121420608027,30.089946173356417,30.089946173356417,4.326,34.81126803272385,20
21,64.11554862438713,2.0,64.11554862438713,38.09966792603173,38.09966792603173,4.326,26.015880698355403,20
22,63.35193539865496,2.0,63.35193539865496,44.482435893296746,44.482435893296746,4.326,18.869499505358213,20
23,62.62941398219306,2.0,62.62941398219306,49.59501275739574,49.59501275739574,4.326,13.034401224797314,20
24,61.965999270907034,2.0,61.965999270907034,53.70994490820172,53.70994490820172,4.326,8.256054362705314,20
25,61.37823243118139,2.0,61.37823243118139,57.034798140228226,57.034798140228226,4.326,4.343434290953162,20
26,60.88076847280984,2.0,60.88076847280984,59.727166230977325,59.727166230977325,4.326,1.153602241832516,20
27,60.48601085017128,2.0,60.48601085017128,61.90639164721697,61.90639164721697,4.326,-1.4203807970456879,20
28,60.20380220227647,2.0,60.20380220227647,63.66272456499257,63.66272456499257,4.326,-3.458922362716102,20
29,60.04117894257925,2.0,60.04117894257925,65.064481495682,65.064481495682,4.326,-5.023302553102752,20
30,60.00219581745603,2.0,60.00219581745603,66.1636373087359,66.1636373087359,4.326,-6.161441491279874,20
31,60.087824807702354,2.0,60.087824807702354,67.00018596811587,67.00018596811587,4.326,-6.912361160413518,20
32,60.295930893773274,2.0,60.295930893773274,67.60552935912384,67.60552935912384,4.326,-7.309598465350561,20
33,60.62132528902182,2.0,60.62132528902182,68.00509512915897,68.00509512915897,4.326,-7.383769840137155,20
34,61.055894813651356,2.0,61.055894813651356,68.22033957660236,68.22033957660236,4.326,-7.164444762951,20
35,61.58880418365289,2.0,61.58880418365289,68.27025724364466,68.27025724364466,4.326,-6.6814530599917745,20
36,62.20676617098174,2.0,62.20676617098174,68.17249262366705,68.17249262366705,4.326,-5.965726452685317,20
37,62.89437289896918,2.0,62.89437289896918,67.9441294278522,67.9441294278522,4.326,-5.049756528883023,20
38,63.634480012657086,2.0,63.634480012657086,67.60221772200063,67.60221772200063,4.326,-3.9677377093435453,20
39,64.40863414539318,2.0,64.40863414539318,67.16408781239922,67.16408781239922,4.326,-2.755453667006037,20
40,65.19753302350308,2.0,65.19753302350308,66.6474911448197,66.6474911448197,4.326,-1.4499581213166124,20
41,65.98150673707774,2.0,65.98150673707774,66.07060199149905,66.07060199149905,4.326,-0.08909525442130928,20
42,66.74100817717199,2.0,66.74100817717199,65.45190879610993,65.45190879610993,4.326,1.2890993810620586,20
43,67.45710041116112,2.0,67.45710041116112,64.81002030350137,64.81002030350137,4.326,2.6470801076597468,20
44,68.11192884434358,2.0,68.11192884434358,64.16340869009159,64.16340869009159,4.326,3.9485201542519945,20
45,68.68916639520864,2.0,68.68916639520864,63.530109577107034,63.530109577107034,4.326,5.159056818101611,20
46,69.17442058464812,2.0,69.17442058464812,62.927396856497005,62.92739685649701,4.326,6.247023728151113,20
47,69.55559238900497,2.0,69.55559238900497,62.371448539973215,62.37144853997322,4.326,7.184143849031756,20
48,69.8231779095418,2.0,69.8231779095418,61.87701824535156,61.87701824535155,4.326,7.94615966419024,20
49,69.97050533669216,2.0,69.97050533669216,61.4571253825602,61.4571253825602,4.326,8.513379954131956,20
50,69.99390130077636,2.0,69.99390130077636,61.12277554118393,61.12277554118392,4.326,8.87112575959243,20
51,69.89278246149752,2.0,69.89278246149752,60.88272097993557,60.88272097993557,4.326,9.010061481561948,20
52,69.66967005258269,2.0,69.66967005258269,60.743269460704006,60.743269460704006,4.326,8.926400591878682,20
53,69.33012701892218,2.0,69.33012701892218,60.70814795434112,60.70814795434112,4.326,8.621979064581062,20
54,68.88261931359021,2.0,68.88261931359021,60.77842598170181,60.7784259817018,4.326,8.104193331888403,20
55,68.33830481307987,2.0,68.33830481307987,60.95250155987317,60.95250155987316,4.326,7.385803253206703,20
56,67.71075511380779,2.0,67.71075511380779,61.22615092478782,61.226150924787824,4.326,6.484604189019976,20
57,67.01561714643987,2.0,67.01561714643987,61.59264142688484,61.59264142688483,4.326,5.422975719555026,20
58,66.27022304513409,2.0,66.27022304513409,62.04290527840851,62.042905278408504,4.326,4.227317766725577,20
59,65.49315799897656,2.0,65.49315799897656,62.56577020285494,62.56577020285494,4.326,2.9273877961216144,20
60,64.70379686053143,2.0,64.70379686053143,63.14824153236722,63.148241532367216,4.326,1.5555553281642034,20
61,63.92182106541711,2.0,63.92182106541711,63.77582894946986,63.77582894946986,4.326,0.14599211594725148,20
62,63.16672790773276,2.0,63.16672790773276,64.43290990472796,64.43290990472796,4.326,-1.2661819969952006,20
63,62.4573444067539,2.0,62.4573444067539,65.10312078739787,65.10312078739787,4.326,-2.645776380643973,20
64,61.81135788584025,2.0,61.81135788584025,65.76976620309588,65.76976620309588,4.326,-3.958408317255632,20
65,61.24487496780679,2.0,61.24487496780679,66.41623623695548,66.41623623695548,4.326,-5.171361269148697,20
66,60.77201998249087,2.0,60.77201998249087,67.02642136296237,67.02642136296237,4.326,-6.254401380471499,20
67,60.40458279956948,2.0,60.40458279956948,67.58511470436416,67.58511470436416,4.326,-7.180531904794677,20
68,60.1517248673421,2.0,60.1517248673421,68.0783916542041,68.0783916542041,4.326,-7.926666786862,20
69,60.019750786923915,2.0,60.019750786923915,68.49395742080978,68.49395742080978,4.326,-8.474206633885863,20
70,60.01195111727527,2.0,60.01195111727527,68.82145385605747,68.82145385605747,4.326,-8.809502738782207,20
71,60.128520330468014,2.0,60.128520330468014,69.05271793421556,69.05271793421556,4.326,-8.924197603747551,20
72,60.36655196284083,2.0,60.36655196284083,69.18198545062644,69.18198545062644,4.326,-8.815433487785612,20
73,60.72011108294155,2.0,60.72011108294155,69.20603487219404,69.20603487219404,4.326,-8.485923789252489,20
74,61.180382269386136,2.0,61.180382269386136,69.12426776142121,69.12426776142121,4.326,-7.943885492035072,20
75,61.73588940904739,2.0,61.73588940904739,68.93872377528481,68.93872377528481,4.326,-7.2028343662374255,20
76,62.37278183526297,2.0,62.37278183526297,68.65402987003921,68.65402987003921,4.326,-6.28124803477624,20
77,63.07517967167221,2.0,63.07517967167221,68.27728498237015,68.27728498237015,4.326,-5.202105310697938,20
78,63.82556977109508,2.0,63.82556977109508,67.81788306523079,67.81788306523079,4.326,-3.9923132941357053,20
79,64.60524237736144,2.0,64.60524237736144,67.28727889303367,67.28727889303367,4.326,-2.6820365156722374,20
80,65.39475762263855,2.0,65.39475762263855,66.6987024772954,66.6987024772954,4.326,-1.303944854656848,20
81,66.17443022890492,2.0,66.17443022890492,66.06682921473428,66.06682921473428,4.326,0.1076010141706405,20
82,66.92482032832778,2.0,66.92482032832778,65.4074139932417,65.4074139932417,4.326,1.5174063350860791,20
83,67.62721816473703,2.0,67.62721816473703,64.73689837955263,64.73689837955263,4.326,2.8903197851844027,20
84,68.26411059095261,2.0,68.26411059095261,64.07200068341297,64.07200068341297,4.326,4.1921099075396455,20
85,68.81961773061387,2.0,68.81961773061387,63.42929911983991,63.42929911983992,4.326,5.39031861077396,20
86,69.27988891705846,2.0,69.27988891705846,62.82481846304345,62.82481846304345,4.326,6.455070454015008,20
87,69.63344803715917,2.0,69.63344803715917,62.27363049842956,62.27363049842956,4.326,7.359817538729608,20
88,69.871479669532,2.0,69.871479669532,61.78947823500328,61.78947823500327,4.326,8.082001434528713,20
89,69.98804888272473,2.0,69.98804888272473,61.38443324800934,61.38443324800934,4.326,8.60361563471539,20
90,69.98024921307608,2.0,69.98024921307608,61.068594695557884,61.06859469555789,4.326,8.911654517518194,20
91,69.8482751326579,2.0,69.8482751326579,60.84983751387731,60.84983751387731,4.326,8.998437618780592,20
92,69.59541720043052,2.0,69.59541720043052,60.733616069622414,60.733616069622414,4.326,8.861801130808104,20
93,69.22798001750913,2.0,69.22798001750913,60.72282816491511,60.722828164915114,4.326,8.505151852594018,20
94,68.75512503219322,2.0,68.75512503219322,60.81774278598258,60.817742785982574,4.326,7.937382246210639,20
95,68.18864211415975,2.0,68.18864211415975,61.015993396903326,61.01599339690333,4.326,7.172648717256422,20
96,67.5426555932461,2.0,67.5426555932461,61.31263694570211,61.31263694570211,4.326,6.230018647543986,20
97,66.83327209226725,2.0,66.83327209226725,61.70027711159655,61.70027711159654,4.326,5.132994980670702,20
98,66.07817893458288,2.0,66.07817893458288,62.169248720445104,62.169248720445104,4.326,3.9089302141377757,20
99,65.29620313946857,2.0,65.29620313946857,62.70785873031162,62.70785873031162,4.326,2.588344409156953,20
100,64.50684200102344,2.0,64.50684200102344,63.30267777857479,63.30267777857479,4.326,1.2041642224486537,20
101,63.729776954865905,2.0,63.729776954865905,63.93887502133848,63.938875021338475,4.326,-0.20909806647257767,20
102,62.984382853560135,2.0,62.984382853560135,64.60058791647393,64.60058791647393,4.326,-1.6162050629137923,20
103,62.28924488619221,2.0,62.28924488619221,65.27131773036052,65.27131773036052,4.326,-2.9820728441683144,20
104,61.66169518692014,2.0,61.66169518692014,65.93434090701217,65.93434090701217,4.326,-4.272645720092029,20
105,61.11738068640979,2.0,61.11738068640979,66.57312604277263,66.57312604277263,4.326,-5.45574535636284,20
106,60.6698729810778,2.0,60.6698729810778,67.17174606999666,67.17174606999666,4.326,-6.501873088918856,20
107,60.330329947417304,2.0,60.330329947417304,67.71527537258956,67.71527537258956,4.326,-7.384945425172255,20
108,60.10721753850248,2.0,60.10721753850248,68.19016193197656,68.19016193197656,4.326,-8.08294439347408,20
109,60.00609869922364,2.0,60.00609869922364,68.5845652246492,68.5845652246492,4.326,-8.578466525425554,20
110,60.029494663307844,2.0,60.029494663307844,68.88865144636372,68.88865144636372,4.326,-8.85915678305588,20
111,60.17682209045821,2.0,60.17682209045821,69.09483870205773,69.09483870205773,4.326,-8.91801661159952,20
112,60.444407610995036,2.0,60.444407610995036,69.19798604807323,69.19798604807323,4.326,-8.753578437078197,20
113,60.82557941535188,2.0,60.82557941535188,69.19552167322698,69.19552167322698,4.326,-8.369942257875095,20
114,61.31083360479136,2.0,61.31083360479136,69.08750702274148,69.08750702274148,4.326,-7.776673417950114,20
115,61.88807115565642,2.0,61.88807115565642,68.87663526621134,68.87663526621134,4.326,-6.988564110554918,20
116,62.54289958883888,2.0,62.54289958883888,68.56816414780377,68.56816414780377,4.326,-6.025264558964892,20
