time,T_in,v_flow,T_Node 1,T_Node 2,T Pipe 1,m_flow Pipe 1,dT 1_2,T_ambient
0,65.0,2.0,65.0,20.0,20.0,4.326,45.0,20
30,65.4717173617833,2.0,65.4717173617833,20.00000000000003,20.00000000000003,4.326,45.47171736178328,20
60,65.93922672875173,2.0,65.93922672875173,20.000000000000032,20.000000000000032,4.326,45.939226728751706,20
90,66.39835764386574,2.0,66.39835764386574,20.000000000000032,20.000000000000032,4.326,46.39835764386571,20
120,66.84501439077759,2.0,66.84501439077759,20.000000000000032,20.000000000000032,4.326,46.845014390777564,20
150,67.27521253001719,2.0,67.27521253001719,20.000000000000032,20.000000000000032,4.326,47.27521253001716,20
180,67.68511444252283,2.0,67.68511444252283,20.000000000000032,20.000000000000032,4.326,47.6851144425228,20
210,68.07106356344833,2.0,68.07106356344833,20.000000000000032,20.000000000000032,4.326,48.071063563448305,20
240,68.42961700086045,2.0,68.42961700086045,20.000000000000032,20.000000000000032,4.326,48.42961700086042,20
270,68.75757624834888,2.0,68.75757624834888,20.000000000000032,20.000000000000032,4.326,48.757576248348855,20
300,69.05201571757468,2.0,69.05201571757468,20.000000000000032,20.000000000000032,4.326,49.05201571757465,20
330,69.31030883622955,2.0,69.31030883622955,20.000000000000032,20.000000000000032,4.326,49.310308836229524,20
360,69.53015147859736,2.0,69.53015147859736,20.000000000000032,20.000000000000032,4.326,49.53015147859733,20
390,69.70958251970347,2.0,69.70958251970347,20.000000000000032,20.000000000000032,4.326,49.709582519703446,20
420,69.84700132969665,2.0,69.84700132969665,20.000000000000032,20.000000000000032,4.326,49.847001329696624,20
450,69.94118205240378,2.0,69.94118205240378,20.000000000000032,20.000000000000032,4.326,49.94118205240375,20
480,69.99128454068392,2.0,69.99128454068392,33.94387816166575,33.94387816166575,4.326,36.04740637901817,20
510,69.99686185103242,2.0,69.99686185103242,62.753926903838966,62.753926903838966,4.326,7.242934947193454,20
540,69.95786423057832,2.0,69.95786423057832,64.5861533506959,64.5861533506959,4.326,5.3717108798824285,20
570,69.87463956090912,2.0,69.87463956090912,65.10785562472667,65.10785562472667,4.326,4.766783936182449,20
600,69.74793025476346,2.0,69.74793025476346,65.55707218714005,65.55707218714005,4.326,4.1908580676234095,20
630,69.57886663327528,2.0,69.57886663327528,65.9899229151283,65.9899229151283,4.326,3.5889437181469788,20
660,69.36895684284801,2.0,69.36895684284801,66.40545575417464,66.40545575417464,4.326,2.963501088673368,20
690,69.12007340160642,2.0,69.12007340160642,66.80010467001972,66.80010467001972,4.326,2.319968731586698,20
720,68.83443649543959,2.0,68.83443649543959,67.17035597416873,67.17035597416873,4.326,1.6640805212708614,20
750,68.51459417264394,2.0,68.51459417264394,67.51290713792994,67.51290713792994,4.326,1.0016870347139957,20
780,68.1633996138419,2.0,68.1633996138419,67.82470242047934,67.82470242047934,4.326,0.3386971933625631,20
810,67.78398567994171,2.0,67.78398567994171,68.10296042627243,68.10296042627243,4.326,-0.3189747463307242,20
