time,T_in,v_flow,T_Node 1,T_Node 2,T Pipe 1,m_flow Pipe 1,dT 1_2,T_ambient
0,18.8,0.272,18.8,18.2,18.2,0.588,0.6000000000000014,18
1,21.8,0.272,21.8,18.19879892620488,18.19879892620488,0.588,3.6012010737951208,18
2,24.7,0.272,24.7,18.198798926204876,18.198798926204876,0.588,6.501201073795123,18
3,27.7,0.272,27.7,18.198798926204873,18.198798926204873,0.588,9.501201073795126,18
4,29.8,0.272,29.8,18.19879892620487,18.19879892620487,0.588,11.601201073795131,18
5,31.9,0.272,31.9,18.198798926204866,18.198798926204866,0.588,13.701201073795133,18
6,33.9,0.272,33.9,18.198798926204862,18.198798926204862,0.588,15.701201073795136,18
7,35.5,0.272,35.5,18.19879892620486,18.19879892620486,0.588,17.30120107379514,18
8,36.8,0.272,36.8,18.198798926204855,18.198798926204855,0.588,18.601201073795142,18
9,38.1,0.272,38.1,18.19879892620485,18.19879892620485,0.588,19.90120107379515,18
10,39.4,0.272,39.4,18.198798926204848,18.198798926204848,0.588,21.20120107379515,18
11,40.7,0.272,40.7,18.198798926204844,18.198798926204844,0.588,22.50120107379516,18
12,41.8,0.272,41.8,18.19879892620484,18.19879892620484,0.588,23.601201073795156,18
13,42.6,0.272,42.6,18.198798926204837,18.198798926204837,0.588,24.401201073795164,18
14,43.4,0.272,43.4,18.198798926204834,18.198798926204834,0.588,25.201201073795165,18
15,44.1,0.272,44.1,18.198798926204834,18.198798926204834,0.588,25.901201073795168,18
16,44.7,0.272,44.7,18.198798926204834,18.198798926204834,0.588,26.50120107379517,18
17,45.3,0.272,45.3,18.198798926204834,18.198798926204834,0.588,27.101201073795163,18
18,45.8,0.272,45.8,18.198798926204834,18.198798926204834,0.588,27.601201073795163,18
19,46.3,0.272,46.3,18.198798926204834,18.198798926204834,0.588,28.101201073795163,18
20,46.7,0.272,46.7,18.198798926204834,18.198798926204834,0.588,28.50120107379517,18
21,47.2,0.272,47.2,18.198798926204834,18.198798926204834,0.588,29.00120107379517,18
22,47.5,0.272,47.5,18.198798926204834,18.198798926204834,0.588,29.301201073795166,18
23,47.8,0.272,47.8,18.198798926204834,18.198798926204834,0.588,29.601201073795163,18
24,48.2,0.272,48.2,18.198798926204834,18.198798926204834,0.588,30.00120107379517,18
25,48.4,0.272,48.4,18.198798926204834,18.198798926204834,0.588,30.201201073795165,18
26,48.7,0.272,48.7,18.198798926204834,18.198798926204834,0.588,30.50120107379517,18
27,48.9,0.272,48.9,18.198798926204834,18.198798926204834,0.588,30.701201073795165,18
28,49.1,0.272,49.1,18.198798926204834,18.198798926204834,0.588,30.901201073795168,18
29,49.3,0.272,49.3,18.198798926204834,18.198798926204834,0.588,31.101201073795163,18
30,49.5,0.272,49.5,18.198798926204834,18.198798926204834,0.588,31.301201073795166,18
31,49.7,0.272,49.7,18.198798926204834,18.198798926204834,0.588,31.50120107379517,18
32,49.8,0.272,49.8,18.198798926204834,18.198798926204834,0.588,31.601201073795163,18
33,50.0,0.272,50.0,18.198798926204834,18.198798926204834,0.588,31.801201073795166,18
34,50.1,0.272,50.1,18.198798926204834,18.198798926204834,0.588,31.901201073795168,18
35,50.2,0.272,50.2,18.198798926204834,18.198798926204834,0.588,32.00120107379517,18
36,50.3,0.272,50.3,18.198798926204834,18.198798926204834,0.588,32.10120107379517,18
37,50.4,0.272,50.4,18.198798926204834,18.198798926204834,0.588,32.20120107379516,18
38,50.5,0.272,50.5,18.198798926204834,18.198798926204834,0.588,32.30120107379517,18
39,50.6,0.272,50.6,18.198798926204834,18.198798926204834,0.588,32.401201073795164,18
40,50.7,0.272,50.7,18.198798926204834,18.198798926204834,0.588,32.50120107379517,18
41,50.8,0.272,50.8,18.198798926204834,18.198798926204834,0.588,32.60120107379517,18
42,50.8,0.272,50.8,18.198798926204834,18.198798926204834,0.588,32.60120107379517,18
43,50.9,0.272,50.9,18.198798926204834,18.198798926204834,0.588,32.70120107379516,18
44,51.0,0.272,51.0,18.198798926204834,18.198798926204834,0.588,32.80120107379517,18
45,51.0,0.272,51.0,18.198798926204834,18.198798926204834,0.588,32.80120107379517,18
46,51.1,0.272,51.1,18.198798926204834,18.198798926204834,0.588,32.901201073795164,18
